,emit,attract,distance,y
39,5.610716441536654,2.201659174404085,9.020516130927913,0.35065687161316933
40,5.610716441536654,2.149433913499871,8.685534585662396,0.9001613499442714
41,5.610716441536654,2.1186622548331173,8.681105115090716,0.494696241836107
42,5.610716441536654,2.1186622548331173,8.832795203997883,0.131028262406404
43,5.610716441536654,1.9110228900548727,9.585087701801957,0.26236426446749106
44,5.610716441536654,1.9572739077056285,9.108131892975884,0.0
48,5.610716441536654,1.827769906751088,7.827621544603903,1.3609765531356006
50,5.610716441536654,1.827769906751088,8.343300658813178,1.007957920399979
51,5.610716441536654,1.7509374747078,8.798745013194928,0.0
52,5.610716441536654,1.62924053973028,8.84060471179408,0.03922071315328133
53,5.610716441536654,1.6863989535702288,8.178891391539388,0.8919980393051105
55,5.610716441536654,1.7011051009599243,8.709915711063424,1.1631508098056809
56,5.610716441536654,1.6409365794934714,7.479239117750305,1.547562508716013
57,5.610716441536654,1.4445632692438664,9.118204630727925,0.3074846997479607
59,5.610716441536654,1.547562508716013,7.65673494182604,0.9555114450274363
60,5.610716441536654,1.472472057360943,8.139916080489545,0.058268908123975824
62,5.610716441536654,1.3962446919730587,7.843808042965753,1.0224509277025455
64,5.610716441536654,1.1878434223960523,8.430343129539626,0.09531017980432493
67,5.610716441536654,0.9400072584914712,9.047013096553384,0.29266961396282004
70,1.5602476682433286,5.495691725968284,8.625179261194555,0.43178241642553783
140,4.032469158504013,5.495691725968284,8.672170482631147,2.033397603178429
141,4.032469158504013,4.88022284203973,5.8375773137158005,1.8050046959780757
143,4.032469158504013,4.323602714536165,6.960970279176517,1.169381359556317
144,4.032469158504013,4.040943785494986,7.012026102019463,1.235471471385307
149,4.032469158504013,3.6264719939853194,6.058929019335403,1.4951487660319727
155,4.032469158504013,3.1780538303479458,5.569811067084537,0.8064758658669485
158,4.032469158504013,3.1188344706879745,6.077820573293778,1.247032293786383
169,4.032469158504013,2.6490076604684267,6.942295514188616,1.366091653802371
174,4.032469158504013,2.298577071596507,7.343294754094608,0.09531017980432493
177,4.032469158504013,2.25758772706331,6.785147474325523,0.5766133643039938
178,4.032469158504013,2.272125885509337,6.934990269603215,0.16551443847757333
210,3.033028058297688,5.495691725968284,8.660473140110392,0.23111172096338664
211,3.033028058297688,4.88022284203973,7.141544985684444,0.5653138090500605
212,3.033028058297688,4.45457982735559,6.960970279176517,1.4350845252893227
214,3.033028058297688,4.040943785494986,7.220198618774968,1.0296194171811581
215,3.033028058297688,4.086648355587631,7.299345604572739,1.085189268335969
280,4.3225419878389895,5.495691725968284,8.838567298967728,2.506341930508065
281,4.3225419878389895,4.88022284203973,7.271304162798421,2.613006652415316
283,4.3225419878389895,4.323602714536165,7.220198618774968,2.1162555148025524
285,4.3225419878389895,4.086648355587631,7.044053135603375,1.4996230464268938
286,4.3225419878389895,4.090336540824562,9.235507624193929,0.09531017980432493
289,4.3225419878389895,3.6264719939853194,7.168344569174492,1.0986122886681098
290,4.3225419878389895,3.459466289786131,9.157204921333909,0.29266961396282004
295,4.3225419878389895,3.1780538303479458,7.068941454302401,1.449269160281279
298,4.3225419878389895,3.1188344706879745,6.540538074011809,1.572773928062509
300,4.3225419878389895,3.0349529867072724,7.543132128279879,0.1823215567939546
301,4.3225419878389895,2.9601050959108397,7.5305018026333235,0.0
