Source,Target,Weight
MY,GB,379.8081169717394
MY,FR,434.54909938071927
MY,ES,400.66674693115976
MY,IT,428.75713231598763
MY,DE,419.8410228325433
MY,MX,365.4194538155016
MY,CA,373.6152471636913
MY,JP,507.5235255101736
MY,NL,422.53046071206893
MY,BR,390.49649494977234
MY,TH,547.5436811890269
MY,ID,541.1487239884231
MY,SG,545.7066074709794
MY,BE,402.3492428179155
MY,AE,432.35707935345323
MY,AU,450.233686800344
MY,CH,396.6594342692914
MY,PH,475.06419417877146
MY,IE,430.18378676991057
MY,PT,420.9937139008777
MY,AR,406.11257594173094
MY,TR,415.8141804395184
MY,RU,418.92911528615
MY,KW,424.908628554176
MY,CN,447.1425112025796
MY,IN,428.29678799120427
MY,HK,469.1415038615514
MY,AT,414.75597854265544
SG,US,383.4068352516835
SG,GB,384.45331792328653
SG,FR,428.3468778072006
SG,ES,397.8455249332884
SG,IT,423.2523791052753
SG,DE,418.1606906561226
SG,MX,364.1705258693406
SG,CA,362.5504890939482
SG,JP,477.87504908533083
SG,NL,412.0160192366172
SG,BR,390.5736910613794
SG,TH,560.913975706718
SG,ID,545.5798306490797
SG,MY,570.2537684609325
SG,BE,413.2537299565876
SG,AE,426.62241765258767
SG,AU,452.8022346438463
SG,CH,406.72521004868884
SG,PH,486.2573329291924
SG,IE,420.32365785867614
SG,PT,416.2567838493922
SG,AR,404.268694336737
SG,TR,414.26978202900693
SG,RU,411.65282642103296
SG,KW,426.4602304194409
SG,CN,451.99664308142206
SG,IN,428.0712057988107
SG,HK,466.6463706484374
SG,AT,416.6911371244754
BE,US,407.87968559393437
BE,GB,431.15466927388303
BE,FR,358.5515194051195
BE,ES,334.6711013404872
BE,IT,399.7143131176022
BE,DE,379.1167605072493
BE,MX,412.04071145755313
BE,CA,401.815789659568
BE,JP,423.0384586455975
BE,NL,367.40566718509797
BE,BR,403.8954477065682
BE,TH,420.8128820319736
BE,ID,421.65432799461695
BE,MY,418.4740147551113
BE,SG,426.66093240704316
BE,AE,404.75100773628503
BE,AU,409.3394085503341
BE,CH,391.5908114110857
BE,PH,414.85511942653625
BE,IE,389.01722308377384
BE,PT,407.7135720506431
BE,AR,416.0581102883952
BE,TR,407.25689557602476
BE,RU,408.09964814364287
BE,KW,407.07180642306326
BE,CN,411.22319264416166
BE,IN,408.7712141379624
BE,HK,419.1624980770495
BE,AT,401.8542111203773
AE,US,391.4077126887239
AE,GB,392.87785127516474
AE,FR,412.1672554543933
AE,ES,410.04519935761664
AE,IT,413.8871185587547
AE,DE,406.428990169708
AE,MX,387.35517747933386
AE,CA,384.3455863908531
AE,JP,415.8863263194627
AE,NL,413.83364199593916
AE,BR,404.87770232050605
AE,TH,431.6908670101297
AE,ID,430.890897189743
AE,MY,434.5142162855853
AE,SG,427.68647965721686
AE,BE,413.91465658747165
AE,AU,416.83392499579594
AE,CH,410.0295910712968
AE,PH,421.32759378729213
AE,IE,417.7027217317789
AE,PT,412.2141542445028
AE,AR,407.9470338080075
AE,TR,413.33962854705123
AE,RU,412.7053872687759
AE,KW,413.7013957622087
AE,CN,420.3874851289549
AE,IN,412.8191381321161
AE,HK,421.2637075785436
AE,AT,413.85476249124923
