time,flopop,patient,confirmation,index
3.0,209527918.66028708,1.0,0.0,4
4.0,206820717.7033493,20.0,0.0,4
5.0,223267822.9665072,28.0,7.0,4
6.0,195527440.19138756,19.0,4.0,4
7.0,188923684.21052632,19.0,3.0,4
8.0,195718588.51674643,6.0,3.0,4
9.0,195532105.2631579,9.0,17.0,4
10.0,196444330.14354068,7.0,16.0,4
11.0,197559688.99521533,2.0,9.0,4
12.0,189665598.08612442,0.0,3.0,4
13.0,200178923.4449761,0.0,0.0,4
14.0,190467320.5741627,0.0,2.0,4
15.0,188929712.9186603,7.0,1.0,4
16.0,203517775.11961725,7.0,6.0,4
17.0,202326842.10526317,6.0,1.0,4
18.0,192119641.14832538,4.0,2.0,4
0.0,71405119.61722489,1.0,0.0,5
1.0,71019545.45454545,2.0,0.0,5
2.0,78915023.92344499,2.0,0.0,5
3.0,80969832.53588517,4.0,0.0,5
4.0,77755311.00478469,7.0,0.0,5
5.0,79761889.95215312,8.0,0.0,5
6.0,70492918.66028708,16.0,0.0,5
7.0,67014545.45454546,14.0,1.0,5
8.0,69770334.92822967,3.0,0.0,5
9.0,69683708.1339713,16.0,5.0,5
10.0,70540693.7799043,5.0,4.0,5
11.0,71835693.7799043,1.0,0.0,5
12.0,66726172.24880383,0.0,1.0,5
13.0,73698923.44497608,0.0,0.0,5
14.0,69478205.7416268,3.0,0.0,5
15.0,67497703.3492823,12.0,1.0,5
16.0,74989688.99521531,7.0,5.0,5
17.0,74646315.78947368,3.0,0.0,5
18.0,72168923.44497608,7.0,2.0,5
0.0,69953636.36363637,0.0,0.0,6
1.0,70776818.18181819,4.0,3.0,6
2.0,75312799.04306221,8.0,0.0,6
3.0,77468971.29186603,2.0,0.0,6
4.0,75279066.98564593,7.0,6.0,6
5.0,78790095.69377992,12.0,2.0,6
6.0,69029617.22488038,1.0,0.0,6
7.0,66719593.30143541,5.0,0.0,6
8.0,69454019.13875599,8.0,0.0,6
9.0,69659880.38277513,20.0,2.0,6
10.0,70505406.6985646,6.0,3.0,6
11.0,71688444.97607656,7.0,0.0,6
12.0,68976267.94258374,3.0,0.0,6
13.0,73133157.89473684,0.0,0.0,6
14.0,71175645.93301436,0.0,0.0,6
15.0,69590645.93301436,13.0,1.0,6
16.0,74941794.25837322,0.0,0.0,6
17.0,75319784.68899523,0.0,1.0,6
18.0,72093325.35885169,1.0,1.0,6
0.0,115703205.7416268,0.0,0.0,7
1.0,116848468.89952154,0.0,0.0,7
2.0,115563827.75119618,0.0,0.0,7
3.0,114008397.12918662,3.0,0.0,7
4.0,114474784.68899523,9.0,0.0,7
5.0,135891698.56459332,7.0,7.0,7
6.0,117029138.75598086,10.0,1.0,7
7.0,112646602.8708134,12.0,8.0,7
8.0,115423038.27751197,1.0,3.0,7
9.0,115100382.77511963,6.0,2.0,7
10.0,116152200.9569378,7.0,5.0,7
11.0,116396076.55502394,5.0,1.0,7
12.0,117500813.3971292,0.0,1.0,7
13.0,115567057.41626795,0.0,0.0,7
14.0,114103779.90430623,2.0,0.0,7
15.0,116662416.26794259,4.0,0.0,7
16.0,115512200.9569378,11.0,2.0,7
17.0,114918971.29186603,5.0,0.0,7
18.0,108596148.32535885,13.0,5.0,7
0.0,149898636.36363637,0.0,1.0,8
1.0,151970502.3923445,0.0,0.0,8
2.0,152365741.62679428,0.0,0.0,8
3.0,151455071.77033493,1.0,0.0,8
4.0,151488038.27751198,0.0,0.0,8
5.0,177522607.6555024,11.0,1.0,8
6.0,153727511.9617225,21.0,1.0,8
7.0,147930406.6985646,10.0,10.0,8
8.0,151599234.44976076,2.0,5.0,8
9.0,150808181.81818184,8.0,4.0,8
10.0,151561937.79904306,10.0,1.0,8
11.0,151730263.15789476,10.0,2.0,8
12.0,151997153.11004785,2.0,0.0,8
13.0,151620669.85645935,0.0,1.0,8
14.0,148513923.4449761,0.0,0.0,8
15.0,151185382.77511963,17.0,2.0,8
16.0,151843851.67464116,2.0,3.0,8
17.0,151301770.33492824,5.0,1.0,8
18.0,143326985.64593303,7.0,13.0,8
0.0,128642081.33971293,0.0,0.0,9
1.0,130438038.27751197,0.0,0.0,9
2.0,137016842.10526317,0.0,0.0,9
3.0,137900119.6172249,3.0,0.0,9
4.0,137018803.82775122,4.0,0.0,9
5.0,154176339.71291867,12.0,2.0,9
6.0,134242990.430622,18.0,2.0,9
7.0,129205813.3971292,3.0,7.0,9
8.0,133309760.76555024,0.0,6.0,9
9.0,133587511.9617225,6.0,2.0,9
10.0,134115406.6985646,9.0,1.0,9
11.0,133892775.11961724,0.0,4.0,9
12.0,130820693.77990432,0.0,0.0,9
13.0,134420358.85167465,0.0,0.0,9
14.0,128922009.569378,2.0,0.0,9
15.0,130272870.81339714,5.0,0.0,9
16.0,135607775.11961722,6.0,2.0,9
17.0,135360000.0,13.0,1.0,9
18.0,128338349.28229666,3.0,8.0,9
0.0,97015980.86124402,0.0,0.0,10
1.0,97030095.69377992,2.0,0.0,10
2.0,99785119.61722489,4.0,0.0,10
3.0,99203492.82296652,1.0,0.0,10
4.0,98999688.99521531,5.0,0.0,10
5.0,115048038.27751197,16.0,1.0,10
6.0,100512727.27272728,16.0,3.0,10
7.0,96396076.55502392,17.0,18.0,10
8.0,99508803.8277512,2.0,3.0,10
9.0,99663803.8277512,5.0,1.0,10
10.0,100417272.72727273,1.0,4.0,10
11.0,100630167.46411484,0.0,1.0,10
12.0,100390765.55023924,0.0,0.0,10
13.0,100371004.78468901,0.0,0.0,10
14.0,98062416.26794259,0.0,0.0,10
15.0,99178253.58851676,2.0,0.0,10
16.0,100323157.89473686,7.0,3.0,10
17.0,100143516.74641149,0.0,0.0,10
18.0,94840789.47368422,5.0,0.0,10
0.0,172738588.51674643,0.0,0.0,11
1.0,175791555.02392346,2.0,0.0,11
2.0,178498062.20095694,1.0,1.0,11
3.0,177871531.10047847,1.0,0.0,11
4.0,178072344.49760768,11.0,1.0,11
5.0,206052942.58373207,12.0,9.0,11
6.0,179137129.1866029,9.0,1.0,11
7.0,172506866.02870816,24.0,3.0,11
8.0,177438779.90430623,7.0,3.0,11
9.0,176987392.34449762,15.0,5.0,11
10.0,177988062.20095694,3.0,12.0,11
11.0,178164784.68899524,1.0,1.0,11
12.0,178025358.85167465,0.0,1.0,11
13.0,178357918.66028708,0.0,0.0,11
14.0,174074114.8325359,3.0,0.0,11
15.0,177122464.11483255,11.0,1.0,11
16.0,179722751.19617227,2.0,6.0,11
17.0,179109282.29665074,1.0,1.0,11
18.0,169376626.7942584,3.0,3.0,11
0.0,83721483.25358853,1.0,0.0,12
1.0,84842703.34928231,1.0,0.0,12
2.0,88232942.58373207,1.0,0.0,12
3.0,88153732.05741628,2.0,0.0,12
4.0,87215693.7799043,7.0,2.0,12
5.0,100663086.12440193,5.0,1.0,12
6.0,88555837.32057416,0.0,0.0,12
7.0,84983492.82296652,0.0,0.0,12
8.0,87771483.25358853,0.0,3.0,12
9.0,87621650.71770336,7.0,0.0,12
10.0,88530956.93779905,31.0,1.0,12
11.0,88710478.46889953,8.0,5.0,12
12.0,87266650.71770336,0.0,7.0,12
13.0,87870478.46889953,3.0,0.0,12
14.0,85334641.14832537,0.0,1.0,12
15.0,86330717.70334929,7.0,0.0,12
16.0,88630837.32057416,12.0,2.0,12
17.0,88497990.43062201,3.0,0.0,12
18.0,83601387.55980861,6.0,18.0,12
0.0,75965574.16267943,0.0,0.0,13
1.0,76147153.11004785,0.0,0.0,13
2.0,78619330.14354068,0.0,0.0,13
3.0,78608995.215311,0.0,0.0,13
4.0,77982344.49760766,4.0,0.0,13
5.0,89763923.44497608,17.0,1.0,13
6.0,78555000.0,11.0,0.0,13
7.0,74748133.97129187,5.0,4.0,13
8.0,77142416.26794259,4.0,0.0,13
9.0,77379114.8325359,0.0,4.0,13
10.0,77826602.8708134,3.0,4.0,13
11.0,78008660.28708135,1.0,0.0,13
12.0,76000861.24401915,0.0,0.0,13
13.0,77473253.58851676,0.0,0.0,13
14.0,74099090.90909092,1.0,0.0,13
15.0,74730645.93301436,5.0,0.0,13
16.0,78117033.49282297,3.0,1.0,13
17.0,77825287.08133972,16.0,0.0,13
18.0,73737009.56937799,10.0,2.0,13
0.0,131304641.14832537,0.0,0.0,14
1.0,133346339.71291867,0.0,0.0,14
2.0,136347583.73205742,0.0,0.0,14
3.0,134840741.62679428,1.0,0.0,14
4.0,135207296.6507177,2.0,0.0,14
5.0,160260167.46411484,7.0,4.0,14
6.0,137702966.50717705,18.0,1.0,14
7.0,132771004.78468901,9.0,10.0,14
8.0,135979401.9138756,11.0,4.0,14
9.0,135472942.58373207,14.0,2.0,14
10.0,136744473.68421054,7.0,18.0,14
11.0,137088636.36363637,3.0,3.0,14
12.0,138526100.4784689,0.0,0.0,14
13.0,136635909.0909091,0.0,0.0,14
14.0,134054712.9186603,0.0,1.0,14
15.0,136605143.54066986,8.0,4.0,14
16.0,136742535.88516748,4.0,6.0,14
17.0,136138732.0574163,2.0,2.0,14
18.0,128730263.15789475,22.0,4.0,14
0.0,132831220.09569378,0.0,0.0,15
1.0,134420645.93301436,0.0,0.0,15
2.0,142646004.784689,0.0,0.0,15
3.0,143966650.71770337,2.0,0.0,15
4.0,141927942.58373207,6.0,2.0,15
5.0,156209665.07177034,10.0,2.0,15
6.0,137371866.02870813,2.0,2.0,15
7.0,132569258.37320575,8.0,3.0,15
8.0,137331387.5598086,6.0,3.0,15
